time,open,close,high,low,volume
2017-09-07 08:30:00,22.3,22.3,22.3,22.3,1.0
2017-09-07 10:00:00,24.5,28.797,28.797,24.5,13324.78376002
2017-09-07 10:30:00,28.799,29.8,30.98,28.211,36119.28424736
2017-09-07 11:00:00,29.897,29.499,29.989,28.4,14468.93133121
2017-09-07 11:30:00,29.499,33.397,34.0,29.0,16717.3002687
2017-09-07 12:00:00,33.397,34.0,39.8,32.6,25913.26073574
2017-09-07 12:30:00,34.0,34.11,34.8,31.233,11817.79453662
2017-09-07 13:00:00,34.2,34.0,37.0,32.8,16248.31873877
2017-09-07 13:30:00,34.39,33.987,34.5,31.7,9350.84722633
2017-09-07 14:00:00,33.401,33.0,34.2,32.01,8556.25484421
2017-09-07 14:30:00,32.9,30.8,33.0,30.711,10272.43297695
2017-09-07 15:00:00,30.75,31.364,31.48,29.7,9303.29577762
2017-09-07 15:30:00,31.364,31.128,31.9,30.615,7403.00269563
2017-09-07 16:00:00,31.2,28.615,31.599,28.2,16186.35743556
2017-09-07 16:30:00,28.982,29.457,30.4,28.453,9310.51571066
2017-09-07 17:00:00,29.6,28.724,30.0,28.52,5761.42548241
2017-09-07 17:30:00,28.874,28.2,29.239,28.2,2776.77704191
2017-09-07 18:00:00,28.144,29.649,30.0,28.144,6885.87808991
2017-09-07 18:30:00,29.405,29.364,29.646,28.5,4625.85641398
2017-09-07 19:00:00,29.192,29.75,29.869,28.997,2245.42758462
2017-09-07 19:30:00,29.75,31.08,31.308,29.601,11507.73857114
2017-09-07 20:00:00,31.09,30.3,32.114,30.081,12413.82611326
2017-09-07 20:30:00,30.3,29.87,30.849,29.55,7424.50828446
2017-09-07 21:00:00,30.204,29.2,30.204,29.001,4256.77076295
2017-09-07 21:30:00,29.21,29.799,30.094,29.2,3237.13303329
2017-09-07 22:00:00,29.768,30.421,30.508,29.21,2503.43313054
2017-09-07 22:30:00,30.59,30.411,31.08,29.986,1136.78321706
2017-09-07 23:00:00,30.411,30.799,31.637,30.004,3383.87657663
2017-09-07 23:30:00,30.848,31.15,31.35,30.484,4447.02949456
2017-09-08 00:00:00,31.003,29.822,31.15,29.799,1807.54335404
2017-09-08 00:30:00,29.826,30.2,30.49,29.689,3171.14789075
2017-09-08 01:00:00,30.198,30.813,30.848,29.666,2232.89766686
2017-09-08 01:30:00,30.674,30.567,30.675,30.2,473.80940767
2017-09-08 02:00:00,30.498,29.9,30.713,29.65,2960.0801848300002
2017-09-08 02:30:00,29.657,29.438,30.017,28.607,2288.36581009
2017-09-08 03:00:00,29.438,29.729,29.787,28.896,818.368648
2017-09-08 03:30:00,29.8,29.204,30.2,28.9,6783.22335331
2017-09-08 04:00:00,29.204,29.8,29.8,28.602,2353.58803576
2017-09-08 04:30:00,29.8,29.504,29.835,29.5,421.82918841
2017-09-08 05:00:00,29.73,30.599,31.39,29.73,1736.08572203
2017-09-08 05:30:00,30.55,30.55,30.723,30.15,1881.64026775
2017-09-08 06:00:00,30.501,29.755,30.501,29.501,2334.93985121
2017-09-08 06:30:00,29.73,30.19,30.45,29.73,2234.79565708
2017-09-08 07:00:00,30.45,29.81,30.644,29.8,1258.27259743
2017-09-08 07:30:00,29.8,30.058,30.299,29.714,1180.44329749
2017-09-08 08:00:00,30.044,29.998,30.064,29.8,902.12798565
2017-09-08 08:30:00,29.935,29.741,30.298,29.5,2697.10124833
2017-09-08 09:00:00,29.729,29.796,30.1,29.121,12758.81519024
2017-09-08 09:30:00,29.797,29.98,30.05,29.588,824.34230829
2017-09-08 10:00:00,29.98,30.0,30.7,29.819,4286.93452497
2017-09-08 10:30:00,30.0,30.151,30.8,29.9,8918.50976576
2017-09-08 11:00:00,30.18,29.9,31.14,29.8,8294.94270221
2017-09-08 11:30:00,29.992,29.62,30.4,29.61,9471.81145243
2017-09-08 12:00:00,29.57,29.3,29.888,29.3,2061.7470445100003
2017-09-08 12:30:00,29.447,29.591,30.25,29.1,2000.4376845900001
2017-09-08 13:00:00,29.591,28.156,29.637,28.156,3477.74077736
2017-09-08 13:30:00,28.18,26.65,28.25,25.993,24354.62467373
2017-09-08 14:00:00,26.65,25.302,26.68,23.5,22318.93379829
2017-09-08 14:30:00,25.302,27.262,29.8,25.1,14948.5267016
2017-09-08 15:00:00,27.305,26.0,27.305,25.0,11246.50260372
2017-09-08 15:30:00,25.85,26.396,26.5,24.6,18915.12019528
2017-09-08 16:00:00,26.3,26.16,26.828,25.343,14431.21532265
2017-09-08 16:30:00,26.193,25.3,26.5,25.2,8288.159958709999
2017-09-08 17:00:00,25.3,25.849,26.1,25.202,4429.80478104
2017-09-08 17:30:00,25.759,24.851,25.76,24.752,6898.16546645
2017-09-08 18:00:00,25.08,25.2,25.5,24.6,4275.79143011
2017-09-08 18:30:00,25.201,24.35,25.25,24.317,5199.11521061
2017-09-08 19:00:00,24.35,24.8,24.8,24.3,4899.36408291
2017-09-08 19:30:00,24.75,23.303,24.8,23.0,11482.45932655
2017-09-08 20:00:00,23.303,23.489,23.634,22.32,21278.48146863
2017-09-08 20:30:00,23.15,24.32,24.322,22.6,4478.50528697
2017-09-08 21:00:00,24.021,23.109,24.058,22.847,4428.55191743
2017-09-08 21:30:00,23.098,24.325,26.434,22.931,6406.92623672
2017-09-08 22:00:00,24.408,24.6,25.305,24.044,2907.88963432
2017-09-08 22:30:00,24.7,25.871,26.0,24.537,3117.94253016
2017-09-08 23:00:00,25.899,25.425,26.27,25.4,8024.25845749
2017-09-08 23:30:00,25.75,25.89,26.183,25.401,4090.5327894
2017-09-09 00:00:00,25.89,25.221,25.902,24.675,3400.4407729600002
2017-09-09 00:30:00,25.22,24.897,25.39,24.468,948.92466455
2017-09-09 01:00:00,24.52,24.108,24.52,24.013,2787.66336867
2017-09-09 01:30:00,24.102,23.9,24.356,23.606,2816.93538657
2017-09-09 02:00:00,23.622,23.5,24.372,23.17,2738.07642313
2017-09-09 02:30:00,23.441,24.201,24.47,23.089,1703.65368958
2017-09-09 03:00:00,24.201,24.0,24.998,23.994,2212.74117581
2017-09-09 03:30:00,23.93,24.112,24.7,23.926,3276.36675216
2017-09-09 04:00:00,24.364,23.852,24.565,23.801,1693.47337581
2017-09-09 04:30:00,23.911,24.028,24.337,23.91,846.71086905
2017-09-09 05:00:00,23.931,24.491,24.959,23.931,1613.54360304
2017-09-09 05:30:00,24.438,25.529,25.924,24.027,3195.49202683
2017-09-09 06:00:00,25.607,24.8,25.741,24.8,3569.29582748
2017-09-09 06:30:00,24.501,24.798,24.949,24.29,977.85252483
2017-09-09 07:00:00,24.739,25.0,25.67,24.739,5283.68122975
2017-09-09 07:30:00,25.0,25.012,25.1,24.699,2605.66837107
2017-09-09 08:00:00,24.99,24.8,24.99,24.7,1484.21647659
2017-09-09 08:30:00,24.71,24.301,24.8,24.301,2903.98268818
2017-09-09 09:00:00,24.294,24.201,24.705,24.06,2123.37564253
2017-09-09 09:30:00,24.193,24.581,24.732,24.031,1207.9569333700001
2017-09-09 10:00:00,24.58,24.797,24.8,24.58,808.74515583
2017-09-09 10:30:00,24.798,24.801,25.008,24.322,2191.0072726
2017-09-09 11:00:00,24.501,24.571,24.612,24.4,2135.594018
2017-09-09 11:30:00,24.37,24.533,24.768,24.3,2339.86615437
2017-09-09 12:00:00,24.565,24.329,24.568,24.24,1791.97582926
2017-09-09 12:30:00,24.261,24.311,24.578,24.24,407.98566482
2017-09-09 13:00:00,24.528,23.789,24.566,23.552,1979.54497485
2017-09-09 13:30:00,23.699,23.75,23.98,23.539,2434.30586993
2017-09-09 14:00:00,23.804,23.9,24.0,23.75,1709.50328094
2017-09-09 14:30:00,23.9,24.0,24.0,23.868,1037.35174399
2017-09-09 15:00:00,24.0,24.137,24.137,23.922,1343.73791345
2017-09-09 15:30:00,24.11,24.009,24.352,24.0,722.58870477
2017-09-09 16:00:00,24.198,24.0,24.213,23.77,2634.20767638
2017-09-09 16:30:00,23.79,23.426,23.816,23.221,6908.50374431
2017-09-09 17:00:00,23.45,22.708,23.496,22.701,8649.18221255
2017-09-09 17:30:00,22.74,22.75,23.399,22.72,2879.52818707
2017-09-09 18:00:00,22.8,22.815,23.184,22.71,1638.6328786
2017-09-09 18:30:00,22.714,22.45,22.83,22.34,6122.3816400900005
2017-09-09 19:00:00,22.45,22.9,23.188,22.18,5415.92169542
2017-09-09 19:30:00,22.915,23.5,23.817,22.915,6321.1787188
2017-09-09 20:00:00,23.576,23.75,24.4,23.4,14113.04695901
2017-09-09 20:30:00,23.738,23.5,23.938,23.222,2459.72278265
2017-09-09 21:00:00,23.274,23.385,23.647,22.828,1131.77849791
2017-09-09 21:30:00,23.195,22.8,23.366,22.8,838.9228438600001
2017-09-09 22:00:00,22.993,23.1,23.598,22.993,1530.85483678
2017-09-09 22:30:00,23.246,23.351,23.577,23.1,568.87959755
2017-09-09 23:00:00,23.45,22.903,23.524,22.696,2107.6244538299998
2017-09-09 23:30:00,22.904,22.6,23.252,22.308,3654.99719222
2017-09-10 00:00:00,22.59,22.238,22.743,22.111,2066.9749611
2017-09-10 00:30:00,22.169,23.212,23.212,22.169,881.6640401
2017-09-10 01:00:00,23.201,22.597,23.201,22.45,1282.26002801
2017-09-10 01:30:00,22.501,22.701,22.9,22.501,323.51250847
2017-09-10 02:00:00,22.8,22.245,22.8,22.12,1877.22280304
2017-09-10 02:30:00,22.277,21.733,22.277,21.56,12203.62699909
2017-09-10 03:00:00,21.732,21.818,21.83,21.101,4881.29569899
2017-09-10 03:30:00,21.77,21.23,21.77,20.848,1781.68505003
2017-09-10 04:00:00,21.272,21.479,21.82,21.154,2942.45590919
2017-09-10 04:30:00,21.492,21.028,21.75,21.028,731.66022176
2017-09-10 05:00:00,21.495,20.649,21.495,20.01,5172.88110842
2017-09-10 05:30:00,20.865,20.889,20.889,20.081,2948.2547535
2017-09-10 06:00:00,20.91,20.44,20.942,20.156,3331.01417534
2017-09-10 06:30:00,20.511,19.805,20.65,19.8,5591.62935305
2017-09-10 07:00:00,19.8,20.815,21.83,19.529,6048.02665347
2017-09-10 07:30:00,20.758,21.0,21.21,20.12,3613.66945703
2017-09-10 08:00:00,20.883,21.579,21.66,20.583,2289.33102134
2017-09-10 08:30:00,21.569,21.7,21.77,21.34,2670.19913288
2017-09-10 09:00:00,21.612,21.481,21.655,20.857,953.24245587
2017-09-10 09:30:00,21.339,20.048,21.38,19.779,12893.6995703
2017-09-10 10:00:00,20.61,20.752,21.0,20.187,3140.05610475
2017-09-10 10:30:00,20.748,20.81,20.81,20.375,2529.3115857
2017-09-10 11:00:00,20.851,21.0,21.0,20.596,2648.61837012
2017-09-10 11:30:00,21.19,21.045,21.2,20.656,1967.99918882
2017-09-10 12:00:00,21.138,21.495,21.495,21.074,3096.28112761
2017-09-10 12:30:00,21.628,21.271,21.7,21.24,1018.29990909
2017-09-10 13:00:00,21.307,21.499,21.616,21.0,1373.2082792400001
2017-09-10 13:30:00,21.217,21.599,21.673,21.173,531.09433864
2017-09-10 14:00:00,21.599,21.587,21.853,21.205,3185.24531291
2017-09-10 14:30:00,21.672,22.1,22.1,21.303,3268.62780723
2017-09-10 15:00:00,22.1,22.0,22.226,21.9,1533.54171968
2017-09-10 15:30:00,22.0,21.801,22.391,21.801,3051.18297871
2017-09-10 16:00:00,21.971,22.116,22.144,21.661,695.27839374
2017-09-10 16:30:00,22.045,22.603,22.659,22.024,832.96165296
2017-09-10 17:00:00,22.658,23.835,24.213,22.607,13099.24423349
2017-09-10 17:30:00,23.827,24.699,25.001,23.67,20139.7823402
2017-09-10 18:00:00,24.677,23.1,24.677,23.1,6401.8051851
2017-09-10 18:30:00,23.149,24.256,24.416,23.11,4409.0839982
2017-09-10 19:00:00,24.156,23.79,24.156,23.614,1380.30515736
2017-09-10 19:30:00,23.957,24.12,25.4,23.411,7214.4126894
2017-09-10 20:00:00,24.193,23.996,24.287,23.773,3320.79707864
2017-09-10 20:30:00,23.762,24.049,24.059,23.177,2088.12031763
2017-09-10 21:00:00,23.982,24.48,24.52,23.676,3243.1332085
2017-09-10 21:30:00,24.438,23.714,24.438,23.6,1177.61505645
2017-09-10 22:00:00,23.665,23.957,24.501,23.664,2598.72957101
2017-09-10 22:30:00,23.83,24.209,24.515,23.8,1494.01005102
2017-09-10 23:00:00,24.206,24.076,24.387,23.749,2037.88009662
2017-09-10 23:30:00,23.876,23.805,24.103,23.556,554.5264596
2017-09-11 00:00:00,23.773,23.459,23.889,23.25,2144.80680763
2017-09-11 00:30:00,23.459,22.711,23.553,22.704,6121.74322662
2017-09-11 01:00:00,23.054,23.488,23.643,22.754,431.41311916
2017-09-11 01:30:00,23.88,23.682,23.999,23.401,2868.67447854
2017-09-11 02:00:00,23.636,23.973,23.973,23.403,1055.03698231
2017-09-11 02:30:00,23.95,23.96,24.1,23.8,1640.35739007
2017-09-11 03:00:00,24.1,24.2,24.338,23.6,1481.85556227
2017-09-11 03:30:00,24.201,23.751,24.5,23.615,1603.22769303
2017-09-11 04:00:00,23.95,22.98,24.139,22.973,2034.14576755
2017-09-11 04:30:00,22.98,22.297,23.37,22.012,4134.61512924
2017-09-11 05:00:00,22.298,22.376,22.793,22.123,2031.56627575
2017-09-11 05:30:00,22.214,22.011,22.221,21.509,4194.37068041
2017-09-11 06:00:00,21.837,22.227,22.227,21.555,1766.15839147
2017-09-11 06:30:00,22.144,22.156,22.5,22.1,2950.74389316
2017-09-11 07:00:00,22.349,22.5,22.9,22.349,1908.51794419
2017-09-11 07:30:00,22.461,22.549,22.759,22.2,2613.2968684
2017-09-11 08:00:00,22.538,22.0,22.767,22.0,1829.20885239
2017-09-11 08:30:00,21.999,22.1,22.381,21.98,1542.10975613
2017-09-11 09:00:00,22.221,22.6,22.6,22.098,1166.54569137
2017-09-11 09:30:00,22.453,22.023,22.453,22.003,1147.40226726
2017-09-11 10:00:00,22.183,22.188,22.422,22.1,225.83176808000002
2017-09-11 10:30:00,22.131,22.411,22.479,22.093,779.51486731
2017-09-11 11:00:00,22.411,22.279,22.6,22.205,884.0766266
2017-09-11 11:30:00,22.279,22.196,22.325,22.081,1298.31886055
2017-09-11 12:00:00,22.206,22.116,22.531,21.999,2286.59072489
2017-09-11 12:30:00,22.108,22.266,22.64,22.027,2863.77704671
2017-09-11 13:00:00,22.751,22.283,22.751,22.202,1080.1361722
2017-09-11 13:30:00,22.546,22.414,22.842,22.2,3534.09097719
2017-09-11 14:00:00,22.645,22.786,22.8,22.632,1689.12417553
2017-09-11 14:30:00,22.725,22.6,22.725,22.5,177.66002986
2017-09-11 15:00:00,22.749,22.465,22.75,22.3,1519.08304245
2017-09-11 15:30:00,22.464,22.47,22.693,22.25,478.29411411
2017-09-11 16:00:00,22.427,22.729,22.75,22.317,740.02853291
2017-09-11 16:30:00,22.679,23.2,23.297,22.67,2389.18921762
2017-09-11 17:00:00,23.28,22.781,23.305,22.781,2976.99864252
2017-09-11 17:30:00,22.832,22.5,23.178,22.492,1492.3116673
2017-09-11 18:00:00,22.5,22.94,22.94,22.4,942.46041098
2017-09-11 18:30:00,22.699,22.722,22.756,22.532,1265.71893929
2017-09-11 19:00:00,22.768,22.5,22.866,22.401,1659.5570534
2017-09-11 19:30:00,22.706,22.69,22.706,22.3,1271.35906797
2017-09-11 20:00:00,22.69,22.5,22.69,22.353,799.40342568
2017-09-11 20:30:00,22.646,22.3,22.646,22.3,73.49361993000001
2017-09-11 21:00:00,22.3,22.077,22.389,22.077,539.32882752
2017-09-11 21:30:00,22.236,22.132,22.459,22.132,69.39762443
2017-09-11 22:00:00,22.256,22.002,22.34,22.002,866.73941877
2017-09-11 22:30:00,22.193,21.88,22.373,21.879,672.06893986
2017-09-11 23:00:00,22.0,22.249,22.325,22.0,901.7965317
2017-09-11 23:30:00,22.2,22.048,22.224,21.8,1654.08077353
2017-09-12 00:00:00,21.854,22.028,22.491,21.801,1343.73721849
2017-09-12 00:30:00,22.028,22.482,22.482,22.027,447.50034248
2017-09-12 01:00:00,22.479,22.118,22.5,22.095,1897.7701633699999
2017-09-12 01:30:00,22.247,22.122,22.484,22.0,1041.370624
2017-09-12 02:00:00,22.13,21.852,22.13,21.85,1210.85079634
2017-09-12 02:30:00,21.962,21.8,21.962,21.366,5463.68572119
2017-09-12 03:00:00,21.702,21.596,21.997,21.498,3818.23503076
2017-09-12 03:30:00,21.679,22.29,22.29,21.565,3167.60167513
2017-09-12 04:00:00,22.29,22.605,22.699,22.216,6898.560749
2017-09-12 04:30:00,22.605,22.746,22.879,22.52,5100.72232219
2017-09-12 05:00:00,22.745,22.762,22.809,22.52,1447.31798557
